Letter ID,Sentence
ASCC 12405,"wider erwarten hinein geraten, würde sicher lich verkauf arbeiten geringsten einfluss ausüben."
ASCC 12405,"leider mitteilen, verlag stande jährliche summe mk."
ASCC 12405,1000.- zuzusichern.
ASCC 12405,geringsten erfolg arbeiten erzielt können erfolg einstweilen garnicht absehen.
ASCC 12405,"davon, durchgesetzt respekt."
ASCC 12405,"nahe durchzusetzen arbeiten marktwert verlegern haben, voll überzeugt, indessen leider nicht."
ASCC 12405,hoffnung zukunft bereit natürliche entwickelung dinge ruhig abzuwarten.
ASCC 12405,"unterschätzen das, geleistet haben, jährlich höheren forderungen kom men, tendenz einzurichten atem schöpfen lassen."
ASCC 12405,"senden nunmehr kammersinfonie orchesterlieder zurück, gelegenheit geben arbei ten, veröffentlichen momentan entschliessen kön nen, verlegern anzubieten höhe marktwertes festzustellen."
ASCC 12405,kontraktlich zugesicherte vorkaufsrecht seite gebotene preise behalten natürlich vor.
ASCC 12405,"sehen also, herr schönberg, keineswegs gesonnen irgendwie schädigen, rigoros unserem vertrage fest halten."
ASCC 12405,reger für sinfonietta m. 10000.– erhalten; gelingt für kammersinfonie ähnlichen preis erzielen.
ASCC 12405,würden darüber ausserordentlich freuen!
ASCC 12405,"erklärt haben, bedingung 1000 mk."
ASCC 12405,"verzichten wollen, nehme an, absicht unseren vertrag brechen."
ASCC 12405,falsch verstanden?
ASCC 12405,ueberlegen gan ze angelegenheit gemütsruhe.
ASCC 12405,"einsicht, ebensoviel grund geduld beweisen wir."
ASCC 12405,/kammersinfonie partitur kla vierauszug .
ASCC 12405,– lieder orchester.
ASCC 12405,"inoffiziell: hoffe, modus vivendi finden werden."
ASCC 12405,!
ASCC 12406,stimmen quartett befinden leipzig.
ASCC 12406,röder geschrieben gebeten stich möglichkeit beschleuni gen fertigstellung korrektur sofort zuzustellen.
ASCC 12406,"freundlich korrektur möglichst schnell lesen; möchten stimmen fertig fest , evtl."
ASCC 12406,nachfrage genügen können.
ASCC 12407,komme brief 29.
ASCC 12407,november be antworten.
ASCC 12407,"nennt prompte justiz, wahr?"
ASCC 12407,werfen zwiespältigkeit verhalten vor.
ASCC 12407,zwiespältigkeit wunderbar?
ASCC 12407,"mensch, musikmensch interessiere hohem masse für musikalische entwickelung, lage wäre, würde verlag gründen werke verlegen möglichkeit ruhigem sorglosem schaffen geben."
ASCC 12407,"mäcen eige nen verlag habe, fremden verlag berate, plötzlich geben, geben möchte."
ASCC 12407,"fragen: eigentümer verlages, volles zutrauen hat, verantworten?!"
ASCC 12407,"sachen liegen, geschäft werken absehbarer ken!"
ASCC 12407,"lieder singen, kammermusik spielen, wagen orchesterwerke aufzuführen?"
ASCC 12407,"schwer zugänglich, künstler, korporation entschliesst versuch werke wagen, bleibt ver such."
ASCC 12407,absatz publikum einstweilen rechnen.
ASCC 12407,"pelleas melisande aufführen, kammersymphonie?"
ASCC 12407,"sehen doch, fried, einzige dirigent, riskieren mag, aufführung zurückschreckt, erstens teuer ist, zweitens, fürchtet nem publikum verderben."
ASCC 12407,"möchte allgemeine schlch schlechte lage musikalienverlagsgeschäftes sprechen besondere lage verlages dreililien, ist, insofern ist, unseren unternehmun gen glück haben."
ASCC 12407,"verlag ginge, objekte gehalten würde, würden ängstlich sein, frischweg drucken, drucken anbieten."
ASCC 12407,"mögliches getan; weiss, für sextett quartett verleger gefunden hätten –!"
ASCC 12407,pelleas me lisande könnten warten irgendwo aufführung durchgesetzt wird.
ASCC 12407,part.
ASCC 12407,u. stimmen vorrätig.
ASCC 12407,schliesslich könnten ver leger ähnlichen fällen auch: könnten einfach material verleihen.
ASCC 12407,gestern fried geschrieben warte nunmehr bescheid.
ASCC 12407,hoffnungen nicht.
ASCC 12407,"– aera weingartner erquicklich wird, glaube auch."
ASCC 12407,"einstweilen macht, sympathisch."
ASCC 12407,für scheiden mahlers sicherlich schwerer verlust.
ASCC 12407,stark für eingesetzt!
ASCC 12407,arbeiten jetzt?
ASCC 12407,erhalten demnächst revis.
ASCC 12407,quartettstimmen.
ASCC 12408,sprach gestern herrn oskar fried; bat sofort partitur „pelleas melisande“ senden.
ASCC 12408,nämlich konzert 6.
ASCC 12408,"april, konzert möchte sensationelles bringen."
ASCC 12408,"senden sofort partitur direkt ihn; adresse ist: oskar fried, nikolassee berlin/wannseebahn/."
ASCC 12408,"halte für wahrschein lich, sinfonische dichtung bringen wird."
ASCC 12409,"beiliegenden annonce ersehen sie, fried entschliessen können sinfonische dichtung „pelleas melisande“ aufzuführen."
ASCC 12409,"uns, mitteilte, bezahlung orchesterprobe verlangt."
ASCC 12409,"verpflichtet hätte werk aufzuführen, hätte über zuschuss mk."
ASCC 12409,350 reden lassen.
ASCC 12409,behielt werk ausfall probe evtl.
ASCC 12409,"ä bzulehnen, natürlich einlassen."
ASCC 12410,komme brief beantworten.
ASCC 12410,"lösung vertrages beabsichtigen nicht; glaube nicht, nötig ist."
ASCC 12410,"orchesterlieder kammersymphonie abgelehnt, vollkommen freie hand ver legern anzubieten."
ASCC 12410,"arbeiten anbelangt, schicken bitte ein."
ASCC 12410,"jedesmal längstens innerhalb wochen entscheiden, annehmen drucken ablehnen."
ASCC 12410,"– pelleas melisande-partitur lan ge autographiert vorliegt, lediglich schuld; mals begonnen autographieren lassen fertigen bogen korrektur geschickt."
ASCC 12410,liegen inzwischen wertlos geworden.
ASCC 12410,"partitur liegt, wissen, fried, unentwegt behauptet werk aufführen wollen."
ASCC 12410,"zwecken benötigen, müssen fried erbitten."
ASCC 12410,"müssen irgendwelches heil erwar ten, sachen gedruckt vorliegen."
ASCC 12410,sextett quartett erschienen – leider!
ASCC 12410,– kümmert darum.
ASCC 12411,stimmen quartett gedruckt.
ASCC 12411,halten gleicher post exemplar zugeschickt.
ASCC 12412,"bestellungen sextett, wien eingelaufen sind, sofort ausgeführt worden."
ASCC 12412,"verlangten robitschek 6, haslinger 5 heller & co. 4 partituren."
ASCC 12412,"guttmann 6 partituren sextettes, 6 partituren quartettes lieder geschickt worden."
ASCC 12412,rosé telegraphi sche bestellung 10 20 sextette eingelaufen; wäre selbstverständlich sofort ausgeführt worden.
ASCC 12412,"wäre möglich, rosé direkt, fall geboten wäre, telegraphiert hat, un seren kommisionär leipzig versehen unkorrecktheit unseres kommissionärs vorliegt."
ASCC 12412,"untersuchen, bitten falle wört lich nehmen, sortimenter erzählt."
ASCC 12412,– verlangten 5 sextettpartituren inzwischen halten haben; neuerdings verlangten hefte op.
ASCC 12412,6 abgeschickt werden.
ASCC 12412,"– frau gutheil erhalten, ge wünscht hatten."
ASCC 12412,"– neues quartett, kammersinfonie orchesterlieder selbstverlag erscheinen lassen wollen, – dage gen können füglich einwenden!"
ASCC 12412,– erschie nenen werken verkauft worden: op.
ASCC 12412,"1 8 ex., op."
ASCC 12412,2 no.
ASCC 12412,"1: 10 ex., nr."
ASCC 12412,"2: 11 ex., nr."
ASCC 12412,"3: 12 ex., nr 4: 9 ex., op."
ASCC 12412,"3 nr 1: 11 ex., nr."
ASCC 12412,"2: 14 ex., nr 3: 14 ex., nr.4: 9 ex., nr."
ASCC 12412,"5: 13 ex, nr."
ASCC 12412,6: 6 ex.
ASCC 12412,op.
ASCC 12412,"4 partitur: 15 ex., stimmen: 4 ex., op."
ASCC 12412,6 kpl komplett .
ASCC 12412,": 10 ex., op."
ASCC 12412,7 part.
ASCC 12412,"33 ex., stimmen: 1 ex."
ASCC 12412,"glaube, ergebnis berechtigung pessimismus zweifeln werden."
ASCC 12413,"gestern abend reise zurückgekehrt, brief 30."
ASCC 12413,aug. vorgefunden beeile ih nen folgendes mitzuteilen.
ASCC 12413,"verlag dreililien vierzehn verkauft herrn oberleutnant georg messner, münchen, prinzregenten-platz 7."
ASCC 12413,verlag bleibt berlin verhältnis geändert.
ASCC 12413,"herr messner, urlaub genommen hat, münchener hoftheater volontär nennen mag, theaterverhältnisse studieren."
ASCC 12413,"nebenbei interesse verlage zuwenden, später, abschied genommen wird, ausschliesslich verlag für verlag tätig sein."
ASCC 12413,"existenz verlages, letzten frage gestellt war, verkauf vollkom men gesichert, liegt absicht betrieb allmählich vergrößern."
ASCC 12413,"vorschlag, herrn messner ha be, der, resolute stellung gegenüber nehmen herrn fried, neulich gegenüber „pel leas melisande“ gesprochen hatte, erbetenen mk."
ASCC 12413,350.– für probe bewilligen.
ASCC 12413,herr messner schrieb 30.8. abgeneigt sei!
ASCC 12413,"heut schreiben, gebricht."
ASCC 12413,"möchte heut rat ge ben, voreilig anderweitig abzuschliessen."
ASCC 12413,herrn messner brief einsenden bitten entschliessen.
ASCC 12414,schnell denken angelegenheit regeln lassen.
ASCC 12414,"herr messner lebt münchen, erfordert zeit."
ASCC 12414,handelt entschluss ziemlicher tragweite.
ASCC 12414,"läge arbeiten einstweilen gedruckt haben, liesse schneller eini gung erzielen."
ASCC 12414,"verleger, sachen druckt, einstweilen honorar geben, übernimmt risiko, klein nennen ist."
ASCC 12414,"verleger, geschäfte will, sich, sachlage übersehen kann, mals bereit finden verbindung treten."
ASCC 12414,"glaube einstweilen daran, universal-edition breitkopf härtel anträge werden."
ASCC 12414,"fall bevor könnten, hätten übel nachsehen."
ASCC 12414,"– sein, busoni feiner kopf ist; unklarer sicherlich ästhetischen snobismus befallen, angenehm wirkt."
ASCC 12415,"herr messner herr fried münchen unterredung gehabt, herr messner bereit erklärt probe dichtung „pelleas melisande“ bezahlen; probe mitte oktober ungefähr stattfinden."
ASCC 12415,"monodram anbelangt, können freigeben; müssen ungefähr worum handelt."
ASCC 12415,"beiliegenden abschrift kontos ersehen, besteht saldo über mk."
ASCC 12415,140 mk.
ASCC 12415,"1400.– unseren gunsten; schwierig keiten legen, müssen schliesslich sehen, bleiben."
ASCC 12415,"vertrag formulieren schwer sein, offenbar forderungen haben, bisherigen stande geschäfte entsprechen."
ASCC 12415,"müssen al ten solange auskommen, abgelaufen wird."
ASCC 12415,– herr richard specht noten verlangt; hätte be kommen.
ASCC 12416,bestätige hiermit empfang „pelleas melisande“ partitur .
ASCC 12416,samt stimmen-material oskar fried geschickt.
ASCC 12416,probe philharmonischen or chester wahrscheinlich 12.
ASCC 12416,nov. stattfinden.
ASCC 12416,"nehme an, fried werk laufe winters bestimmt aufführen wird."
ASCC 12416,"be dingungen über erwerbung „pelleas melisande“, letzten briefe stellen, erscheinen annehmbar."
ASCC 12416,"übri gen unserem vertrage vermerkt, vermerken ist."
ASCC 12416,möchte raten sorgfältig durchzulesen.
ASCC 12416,"erinnern übrigens, seinerzeit, vorschuss bekamen, verabredeten vertrag verlängern?"
ASCC 12416,universal-edition abgeschlossen zerschlagen.
ASCC 12416,aufsatz märker „merker“ über musikkritik würde natür lich lesen.
ASCC 12416,eile!
ASCC 12417,gesellschaft autoren usw.
ASCC 12417,"deshalb, vermerk „aufführungsrecht vorbehalten“ notenmaterial fehlt, zahlung aufführungsgebühr abzulehnen; hätte abzulehnen, aufführung ungarn stattgefunden hätte."
ASCC 12417,deutschland oesterreich getroffenen vereinbarungen gebunden.
ASCC 12417,"herr rösch, telephonisch über sprach, lässt sagen, sie, tantiemen-gesellschaften getrennt haben, nunmehr genossenschaft deutscher tonsetzer beitreten könnten, für wertvoller wäre, sicherlich deutschland oesterreich aufgeführt werden."
ASCC 12418,"unseren vertrag hinweisen, durchzule sen offenbar mühe nehmen."
ASCC 12418,bezug „pelleas melisande“.
ASCC 12418,"fried gehört; scheint so, er, probe bezahlen wollten, führung absehen wolle."
ASCC 12418,schnelle entscheidung über monodram „erwartung“ leider herbeiführen; nachmittag genauer anzusehen.
ASCC 12418,befund sofort rück schicken herrn messner gelegenheit geben stellung nehmen.
ASCC 12418,energie nehme selbstverständlich übel.
ASCC 12418,"energie poniert immer, umsomehr tugend ist, geringem masse besitze."
ASCC 12419,"unseren rechnungsauszug verstehen, liegt sicherlich rechnungsauszug."
ASCC 12419,"os kar fried symphonische dichtung „pelleas melisande“ anbelangt, verlage dreililien fried folgendes fest verabredet: fried führt kon zerte gesellschaft musikfreunde werk , wofern verlag bestimmte summe teilweisen deckung orchester-verstärkung probenvermehrung entstehenden unkosten zahlt."
ASCC 12419,"summe zahlen herr messner bereit erklärt voraussetzung natürlich, bedingungen unseres vertrages vorkaufsrecht 14 führung zusteht."
ASCC 12419,müssten einverständnis ausdrücklich geben.
ASCC 12419,partitur skizze frieds be sitz.
ASCC 12419,"unbedingt bedürfen aufführung verzichten wollen, bitte herrn fried direkt wenden."
ASCC 12419,wohnt nikolassee berlin.
ASCC 12420,beantwortung briefes 24.
ASCC 12420,"april teile mit, herr messner vorschlag eingehen will: nimmt an, alte schuld verrechnet wollen."
ASCC 12421,"anbei schicke kritiken das, habe."
ASCC 12421,– messner symphonischen dichtung „pelleas melisan de“ korrespondiert.
ASCC 12421,"d. h.: geschrieben, keinerlei antwort erlangen können."
ASCC 12421,"dafür bedingungen nehmen, angeboten hatten."
ASCC 12421,inzwischen u.-e. abgeschlossen haben!?
ASCC 12421,"hertzka verabredet, ihm, falls werk reflektierten, bestimmten termine nachricht geben würde."
ASCC 12421,termin vorbei… hoffentlich nem allzu katzenjammer berlin abgefahren?
ASCC 12421,"schreiben bitte, sachen stehn."
ASCC 12421,anzahl titel unbekannt.
ASCC 12421,rezensionen schmidt 1910 ; norddeutsche allgemeine zeitung 1910; schwäbischer merkur 1910
ASCC 12422,"leider mitteilen, werbung symphonischen dichtung „pelleas melisande“ ver zichten muss."
ASCC 12422,"herrn direktor hertzka, neulich anfragte, sinne geschrieben."
ASCC 12422,"schien so, hertzka wert legte arbeit für univ.- edition bekommen."
ASCC 12422,"– oskar bie hat, weiss, über aufführung „pelleas melisande“ geschrieben ."
ASCC 12422,kri tik zuschicken lassen.
ASCC 12423,früh antwort herrn messner erhalten.
ASCC 12423,"früher mitgeteilt, stellung kunst finden kann."
ASCC 12423,"es, subvention konzertes absehen will."
ASCC 12423,"anfangs winters geschrieben habe, böse gemeint."
ASCC 12423,"ja, saison früh spät gespannt aufatmen kann."
ASCC 12423,würde freuen frau sehen.
ASCC 12423,augenblicklich frau verreist; alsbald rückkehr melden.
ASCC 12424,vertrösten.
ASCC 12424,herren beeilen nicht.
ASCC 12424,geduld!
ASCC 12425,"bitte morgen, sonntag vorm."
ASCC 12425,besuchen vergessen par tituren etc.
ASCC 12425,mitzubrin gen.
ASCC 12426,bitten donn.
ASCC 12426,vorm.
ASCC 12426,kom men?
ASCC 12426,mittwoch stadt.
ASCC 12427,"denke, irgendwie eini gen können."
ASCC 12427,dienstag nachmittag 5 besuchen?
ASCC 12428,lieder getroffen.
ASCC 12428,leichter zugänglich – ?
ASCC 12428,– irrtum.
ASCC 12428,"überhaupt zugang entdeckt, schweren."
ASCC 12428,wei teres brieflich.
ASCC 12429,– partitur eingetroffen!
ASCC 12429,kriegen nen brief!
ASCC 12429,par worte über mahlers lieder aufnahme schreiben?
ASCC 12429,"rezensionen: graf 1905, karpath 1905, korngold 1905, neues wiener tagblatt 1905, reichspost 1905, 1905"
ASCC 12430,"sofort auftrag gegeben stimmen quartetts herrn prof. henry petri senden, quartett dresden soll."
ASCC 12430,lust scheint herr haben; betont brief verlag beflissenheit schwierigkeiten werkes.
ASCC 12430,"dachte, rosé würde quartett herangezogen werden?"
ASCC 12430,"angelegenheit scheitern, dresdener quartett schwierigkeiten einstu dierung fürchtet."
ASCC 12430,können mahler stecken?
ASCC 12430,geschichte angeregt .
ASCC 12431,"soeben teilt firma röder mit, herr professor petri unbegreiflicherweise stimmen quartett – 23."
ASCC 12431,mai gebeten – röder abgeschickt hat.
ASCC 12431,eilbotenbrief geschickt röder geschrie ben stich wenigen bewerkstelligen.
ASCC 12431,"denke, rosé stimmenmaterial 15."
ASCC 12431,"juni ungefähr hat, reka pitulation haben."
ASCC 12432,"herr professor petri schreibt soeben, stimmen be reits rosè abgeschickt habe; rosé besitze sein."
ASCC 12432,angelegenheit einstweilen erledigt.
ASCC 12432,"hauptsache ja, partitur feste ist."
ASCC 12434,"leider unmöglich, berlin kommen, harden verschiebung besuchs erbat."
ASCC 12434,"freitag möchten, bitte sehr, verständigen karte ( westend, nussbaum-allee 27 )."
ASCC 12434,(freitag 10 uhr) café bauer.
ASCC 12434,"– herr marschalk lässt sagen, interessieren, kennen lernen nächste woche lust hätten, möchten für vormittag anmelden."
ASCC 12434,tätigkeit wilhelm wymetals für verlag dreililien lässt nachweisen.
ASCC 12434,wilhelm wymetal förderer pianisten komponisten conrad ansorge gründer ansorge-vereins.
ASCC 12434,verbindung max marschalk besteht sowohl verlag werken ansorges verlag dreililien aufführung werken marschalks konzerten vereins
ASCC 12435,für uebersendung liebstöckelei .
ASCC 12435,"recht, infam."
ASCC 12435,gefallen irgendwie rea gieren herrn tun.
ASCC 12435,oskar fried sprach gestern; saison aufführung „pelleas melisande“ werden.
ASCC 12435,für nächste saison fried pläne.
ASCC 12435,"nämlich art musi kalischer gesellschaft gründen, könnte machen, woll te."
ASCC 12435,mäcenen abhängig.
ASCC 12435,nächstens übri gens „pelleas melisande“ probe durchspielen.
ASCC 12435,pelleas melisande- partitur weile lassen.
ASCC 12435,vierhändigen klavierauszug kammersinfonie angezeigt; bitte nunmehr schicken.
ASCC 12435,"klavierauszug „pelleas melisande“ anbelangt, stechen quartettstimmen, drucklegung kammersinfonie orchesterlieder, /die übrigens besitz sind/, müssen definitive entscheidungen ausstehen grunde, momentan mitteilen kann."
ASCC 12435,"verlagsentwurf nächstens erhalten über dar lehensaffaire peters rücksprache nehmen, definitiv erledigen."
ASCC 1248,telegrafierte heute: „sendet telegrafisch zweihundertneunzig shillinge „an unzeitig mödling schillerstrasse 11.“ betrag folgenden bitte lasten septembergage schreiben.
ASCC 1248,"schwiegersohn greissle bitte hundert schill., sohn georg zweihundertfünfzig schillinge auszuzahlen."
ASCC 1248,"weiss nicht, bleiben werden."
ASCC 1248,"schön hier, langweilig."
ASCC 1248,"meisten leute scheinbar hieher touristen, solche, sind, fortwährend ausflüge machen, hieher kommen, woanders sind."
ASCC 1248,hoffentlich partitur stich!
ASCC 1248,irgendwelch interessante nachrichten für mich?
ASCC 1248,hört aufführungen hört?
ASCC 1249,sendet telegrafisch zweihundertneunzig schillinge unzeitig moedling schillerstrasse 11 schoenberg lunaire
ASCC 1253,anfangs august ue suite- par titur übergeben.
ASCC 1253,"anfangs september korrektur erhalte, senden pro beseite (die nb verlangt hatte!)."
ASCC 1253,"sem vorgang länger ruhig zusehen (denn einkünfte leiden konto erfolgen verkaufsgutschriften neuer werke das, obwohl jänner vorigen jahres werke überreicht habe!)"
ASCC 1253,"erklären, geht."
ASCC 1253,"verlange, werk spätestens 15."
ASCC 1253,oktober 1926 partitur 15.xi 1926 stimmen fertiggedruckt vorliegt gebe erscheinen chorwerke termin 14 d. i. 30.
ASCC 1253,september .
ASCC 1253,jahres.
ASCC 1253,"gemeint sind: arnold schönberg, texte arnold schönberg, stücke für gemischten chor op."
ASCC 1253,"27 arnold schönberg, satiren für gemischten chor op."
ASCC 1253,"28 arnold schönberg, suite op."
ASCC 1253,"29 termine eingehalten werden, müsste verletzung unseres vertrages geiste ansehen."
ASCC 1253,"klavierstücken bläserquintett klavierstücken bläserquintett über laxe behandlung werke beklagen einsehen, ue werk zeit-punkt verlegern auflage herausgegeben hat, werk gestochen , ."
ASCC 1253,"nicht, voran komm geh en."
ASCC 1253,"bitte mitteilung, herr stein entwurf irischen aufsatz erhalten hat."
ASCC 1253,wüsste ferner gerne herrn direktor herzka fehlt.
ASCC 1261,"mitteilung , letz te behebung (300:– s.) dezemberbezügen gehe, be ruht irrtum, monat november 2800 s. behoben, 300 3100."
ASCC 1261,"einkünfte 2000 mark betragen, sogar guthaben haben."
ASCC 1261,"setze voraus, konto sinne letzten unterredungen geordnet, d. h. glattgestellt haben."
ASCC 1261,"unabhängig bitte lasten bezüge herrn kapellmeister erwin stein, brief sende, 100:– schillinge, gestern ausgeborgt habe, auszuzahlen, außerdem wiednerhauptstrasse 18 laufe vormittages (es tischzeit sein) diener 500."
ASCC 1261,sch.
ASCC 1261,senden.
ASCC 1273,brief 5. d. m. erwähnte 660 sch.-sache ordnung.
ASCC 1273,"mir, diesmal kosten, nen brief abgespart."
ASCC 1273,manchmal risiko irrtümer richtigstellen.
ASCC 1273,"befassen, müsste sekretär eigens für zweck halten."
ASCC 1273,660 sch.
ASCC 1273,bar zurück senden.
ASCC 1273,"tradition lassen, will, bisher, irrtümern vorteil ziehen."
ASCC 1273,"wiesbadener erwartung - aufführung: verband deutscher bühnenschriftsteller komponisten würde notfalls, gezwungen bin, beitreten."
ASCC 1273,"soviel ist, dürfte verband haben, aufführung bühnenwerke wehren."
ASCC 1273,"(wenn irre) autoren nimmt, abendfüllende werke geschrieben haben, befasst autoren, dere vertre tung befugt fallen somit ausserhalb interessensphäre, ausserhalb somit kompetenz."
ASCC 1273,"standpunkt bitte zunächst namen, ehe ich, trotz ehrenvoller nichteinladung eindränge, geschätzten verbande gegenüber vertreten."
ASCC 1273,"notfalls, gesagt, bitte namen beitrittsanmeldung schmerzlos vollziehen."
ASCC 1273,"vorgestern sandte orrekturen, empfang bestättigt haben."
ASCC 1273,photographie lag bei.
ASCC 1273,"richtig: frau coolidge bittet erlaubnis herausschreiben ,die stimmen 3."
ASCC 1273,quartetts für zugestandenen amerika nischen aufführungen.
ASCC 1273,bitte erteilen ausdrück lich genau abgegrenzt (wegen mei ner früheren zusage kolischquartett!)
ASCC 1273,"woche, samstag, wahrscheinlich, gehe wien: vergnügen sein."
ASCC 1281,"komme dazu, letzten briefe beant worten."
ASCC 1281,"zunächst sagen, unerhört finde, ohnedies verspätete herausgabe suite vollkommen grundlos, absolut sinnlosen rede neuerdings verschoben ist."
ASCC 1281,nem grund sofort protestiert: bestimmt geht: behalte diesbezüglichen be schlüsse zunächst vor.
ASCC 1281,ferner ie ps-bemerkung briefes 3.i.
ASCC 1281,folgendes erklären: herrn winter erklärt (und wiederholt!)
ASCC 1281,"beträge, ver gangenen über 500 markzahlung hinaus behoben konto „alte“ werke belastet möchte."
ASCC 1281,"dennoch betrag konto „neue werke“ ver rechnet wird, erneuert bedingungen erinnern, letzten neuregulierung unseres ver trages gestellt zugesagt erhalten habe: i. mir, vorschüsse benötige, jederzeit bewil ligt würden („betrachten universal-edition bankier.....“ dir."
ASCC 1281,herzka) ii.
ASCC 1281,"garantie dafür verlangte, einnahmen gewisse mindesthöhe erreichen müssen, sogar mals ."
ASCC 1281,", einnahmen höher waren, begreif licherweise unzufrieden musste."
ASCC 1281,"nur, möglichkeit fanden, forderung vertragsfähige formel fassen, vertrag erwähnt, glaubte verzicht höhere tantiemenzahlung, zweck vorschlug, höhere summe erreichen, gegebenen versicherungen zureichend kenntnis."
ASCC 1281,"nichtsdestoweniger einnahmen semester semester bedeutend ge sunken, für alte werke erhalte, für alten allein."
ASCC 1281,"feierlichst erklären, ue keineswegs lebenswerk anvertraut hätte, angenommen hätte, – gründen – werke, op."
ASCC 1281,"22 inclusive harmonielehre gurrelieder tragen werden, summe halbjahresrechnung schreiben kann."
ASCC 1281,"erkläre, keineswegs kann!"
ASCC 1281,"pflicht verlages, autor soviel ver kt, ue mir, werken entsprechenden absatz verrechnen lage ist."
ASCC 1281,"macht, sache!"
ASCC 1281,"entschiedenst ersuchen (ohne notwendigen regelung obigen frage vorgreife) zuverlässig solange für werke abge machten betrag monatlich regelmässig weiterzubezahlen, gemachten vorschlag aenderung unseres vertrages eingehen werde."
ASCC 1281,zuverlässig nächsten wochen ge schehen.
ASCC 1281,"vorschlag: vorschlag zunächst geschehen anzusehen, nämlich lage akzeptieren: gegenteil: niemals vergessen."
ASCC 1281,"gedächtnis behalten, ue."
ASCC 1281,"augenblick, glaubte, erfolg abnehmen (als ses jemals gestattet hätte, erfolg beurteilen!)"
ASCC 1281,mei nes schaffens verzichten will; werken höflich tür setzt:!
ASCC 1281,"ja, neuer geist ue eingerissen."
ASCC 1281,ge rissener geist.
ASCC 1281,mindestens unbedingt trennen müssen.
ASCC 12846,"reiflicher überlegung redaktion „anbruch“ (der, interessieren wird, herr dr. wiesengrund frankfurt gehört), entschlossen, beiliegenden artikel casella’s abzudrucken."
ASCC 12846,"erwägung aus, für förderlicher sei, äus serungen uns, entsprechende entgeg nung gegenübergestellt kann, veröffentlichen gegenwärtigen zeitpunkt dringend gebote ne klare auseinandersetzung beginnen."
ASCC 12846,"übermitteln anlage bürstenabzug würden begrüssen, sie, verehrter meister schönberg, äusserungen casella’s stellung nehmen würden."
ASCC 12846,"möchten bemerken, entgegnungen casella’s aufsatz februarheft „anbruch“ scheinen manuskript spätestens 17."
ASCC 12846,januar erhalten müssten.
ASCC 12847,"unmöglich, telefonische verbindung bekommen, bringe schriftlich vor, wozu milieu geeignet schien."
ASCC 12847,"verstimmung haltung anbruch gegenüber ist, scheinbar berechtigt – verzeihen offenheit, verstimmung klären – unbillig gegenüber inneren motiven, haltung bestimmten."
ASCC 12847,"entsinne mich, beginn bewegung geschrieben haben, antwort erhielt."
ASCC 12847,lag postverhältnissen.
ASCC 12847,"sagen, andeuten wollten, namen aushängeschild deck mantel für bestrebung herzugeben, innere güte künst lerisches rückgrat beweisen habe."
ASCC 12847,"beweis bestrebung anbruch zumindest für erbracht, wenden wollte."
ASCC 12847,"keinesfalls lag liegt tentionen anbruch, richtung festlegen wollen, absonderung kliquewesen sachlichen richtlinien selben unvereinbar sind."
ASCC 12847,"vielmehr bestand absicht anfang, namen schönberg, sogar jugenderinnerungen knüpfen – sogar mitglied chors schuberthaus 14 – vollinhaltlich identifizieren bewegung anbruch für namen einzusetzen, augenblick, existenzielle künstlerische berechtigung bewiesen würde."
ASCC 12847,"selbstgewissheit ehrlichen absicht heraus trat festsaal frau schwarzwald sie, etwa, „versäumten“ augenblick schlau erhaschen rechtfertigungsversuch unterziehen, aufgefordert wurde."
ASCC 12847,"äusserungen meinerseits vertrauen haben, grundlage erspriesslichen bestrebung be tonten, ausserordentlich freuen, falschem licht ausgesprochen haben."
ASCC 12847,"diesfalls wäre dankbar, könnte demnächst für halbe stunde sprechen, musikalischen pläne für kommende auseinanderzusetzen."
ASCC 12848,"rücksprache unserem herrn direktor hertzka teile mit, leider unseren vorarbeiten für musikzeischrift vorgeschritten sind, technisch unmöglichkeit ist, weitgehenden wünschen rechnung tragen."
ASCC 12848,"würden dennoch freude begrüssen, stellten fall fall beitrag verfügung, lässt unsererseits gesehene rege beziehung verwirklichen."
ASCC 12848,"geben angenehmen erwartung ausdruck, für nummern material einsenden, sehen diesbezüglichen eventuellen mitteilungen besonderem interesse entgegen."
ASCC 12849,"vorarbeiten musikblättern anbruch gediehen, zusammenstel lung nummer beschäftigt bin."
ASCC 12849,"einladung gelegentlich besuches betonte, halte mitarbeit uner lässlichster wichtigkeit; persönlich interesse ausserordentlich leid, ständige mitarbeit bedingungen verlag durchzusetzen war."
ASCC 12849,"erklärten schon, nichtsdestoweniger gelegent liche mitarbeit bereich möglichkeit liege."
ASCC 12849,gelegenheit – meinung sachliche notwendigkeit – ergibt nummer.
ASCC 12849,"musikzeitschrift, sitz wien dargetanen zielen künstlerischen ambitionen, wäre vornherein halbe aufgabe, müsste sie, sozusagen geburtsanzeige derersten nummer musikalische persönlichkeit ranges, grundpfeiler internationalen mu sik überhaupt, vermissen."
ASCC 12849,"halte arbeit nummer für essentiel le vorbedingung für uns, grundelement unsrer prinzipiellen gesichtspunkte, mithin künstlerischen physiognomie ist, öffentlichkeit treten."
ASCC 12849,"zusagen mitarbeit gegeben: schreker, marx, walter, fried, furtwängler, blech, berg u. a. postverhältnissen erwartet: men gelberg, busoni, schillings, delius, strawinski, bartok, kodaly, novak, suk, stepan, klemperer."
ASCC 12849,rechtzeitigen eintreffen beiträge material ausschliesslich zusam mensetzen.
